Review Text,Star
"It would help if the front girl don't just sit us down and not ask us for drinks or put us with a waitress. Instead, let us just sit here for almost an hour unattended! If it's time for you to clock out then it's not our problem. But if you're gonna seat us be more professional about it at least then leave!",3-star
"One star because that's the least amount you can leave. I understand they have dollar margaritas but they should have enough people on staff to make all the food and get people seated and fed quickly. We came in restaurant seemed slow. Hostess said 10 minute wait to let the kitchen catch up. Well by the time we where seated the lobby was packed. As soon as we sat down we each ordered a water and a margarita we were a party of two. we place our order for food. That's where things went south. We sat for 45 minutes. The table that sat after us, ate and left before our appetizer ever came. I left a $5 on the table to cover margaritas. Never going back again.",1-star
"Bad time today. Dirty windows, table sticky, handy payment/menu gadget yucky. Used my fork to enter info. Food was burned and dry. Only dark chocolate desserts. Adios.",2-star
"My second visit in the last year. Both experiences were similar: awful. Tonight, we arrived after my daughter's dance recital, so around 10pm. Not too crowded, thought it would be a quick place to grab some appetizers. NOT! Our party of 6 ordered 4 appetizers (3 of which were sample size), 2 house salads, and a kids meal. 30 minutes later, one appetizer came out, said the remainder of the food would be out in about 3 minutes. 10 minutes later, a different server brought the salads out (40 minutes after were seated, just for salads!) but we had no silverware. Another 5 minutes later, 2 more appetizers and the kids meal came out and we asked for silverware. Next time the server rolled around, we again asked for silverware, and were told ""I told her to get you some,"" referring to the hostess. He called across the restaurant to the hostess, who said she didn't have any silverware. He grumbled and went to find some. Several minutes later, our last appetizer, and silverware finally arrived. So almost a full hour before we had our entire meal and utensils to eat it with. We asked about the 50% off appetizer sign on the table and the dude actually said ""you got here after 9, and that's for after 10 on the weekends."" He did finally honor the 50% off the regular appetizer when we basically had to tell him to look at the time on our ticket. . Not completely the server's fault, but the whole experience was horrible. After two very sub-par visits, my family will NEVER go back to this location.",1-star
"Absolutely awful! Took forever to get food, food then came out cold, we asked the manager to fix tv 3 times and it never got fix! The place was dead and it was still slower than molasses.",1-star
"1.wait time was 30 minutes,then we get to table, 25 more minutes till food, then the order I had was not good, had to reorder, said it would take 10 minutes but it was longer, when they bought my food I asked for a to go box, people I was with had eaten their meal... next time I will come earlier and order different food",1-star
"The food was terrible and the service was even worse. Now I know why I don't go to Applebees. My waiter needs to be re-trained on how to do his job. He took our order and that was all he did. He never came back to clean the dirty plates from our table. The first dish I ordered was horrible upon the first bite. So I waited and waited and waited until I finally had to flag down another waitress to help me. She ordered me a new dish, only to order the wrong dish. Then I asked to speak with the manager and I watched him sit at the bar for 10 minutes doing nothing before he decided to come to my table. This was the worst restaurant experience I ever had.",1-star
"Party of six for my daughters birthday. She requested to go to Applebee's, Concord Mills. I remember now why I have not been in years. Food was OK, but service was terrible. Had to ask for everything, drink refills, napkins, no salt, pepper, or ketsup on table. Had to wave down waitress for everything. I still tipped, but regrettably. Restaurants in this country now expect you to pay their waitress wages on tips. I am OK with that if they actually earned it and not automatically expect. Last time for Applebee's.",1-star
"I've been twice now in the last couple month, and both times found the service to be good. I know what to expect in an Applebee's and that's what I go for. I sat at the tables around the bar one time and in a far back booth the second time. I much enjoyed the appetizers, the meals, and desserts. As a comment to other low star reviews. My experience is probably different because I go during non peak times. Middle of the afternoon before dinner crowd or later in the evening after the rush.",4-star
"Took my family from out of town here...never again! The food was terrible. I felt sorry for our server because she was great, but the food was nasty. It's not the cleanest place and the wait time is ridiculous. I will never eat here again.",1-star
